wavenumber,intensity
4000.0,0.06027442161921182
3996.0,0.06132591980234757
3992.0,0.06443971589276727
3988.0,0.06204840802713436
3984.0,0.06329243699379995
3980.0,0.06239334225427073
3976.0,0.05974975032369901
3972.0,0.06188726521274293
3968.0,0.059948764748613305
3964.0,0.05971446832040765
3960.0,0.06033036322219873
3956.0,0.05686124488682646
3952.0,0.062075620964541944
3948.0,0.058129214264360324
3944.0,0.06125477811703298
3940.0,0.059313288333421116
3936.0,0.0618955001361931
3932.0,0.05730748199512453
3928.0,0.057805831134751344
3924.0,0.05891378139803569
3920.0,0.05363974809897179
3916.0,0.05953539998469021
3912.0,0.06079689023381564
3908.0,0.05981129685886254
3904.0,0.05892202301965106
3900.0,0.05698682865644416
3896.0,0.05972113139588652
3892.0,0.05919690151927618
3888.0,0.057739282463399356
3884.0,0.05688386062755771
3880.0,0.05608477114157386
3876.0,0.05429827364671869
3872.0,0.059178056850187656
3868.0,0.05236545350367613
3864.0,0.055970917903473
3860.0,0.057060008793755175
3856.0,0.058490040482050476
3852.0,0.060352245832193105
3848.0,0.058894449772459743
3844.0,0.056424487015530204
3840.0,0.05858497603022127
3836.0,0.05474879107266708
3832.0,0.0602978398480611
3828.0,0.05731431093487892
3824.0,0.05649300685492298
3820.0,0.056800283034491625
3816.0,0.058218838676607515
3812.0,0.0578451141428131
3808.0,0.06352629806281927
3804.0,0.0578533144523819
3800.0,0.05972625758113465
3796.0,0.06011746951041167
3792.0,0.06054803622726959
3788.0,0.06106297355342087
3784.0,0.060481530826707416
3780.0,0.06080276646891847
3776.0,0.060803752713860355
3772.0,0.060144856559289056
3768.0,0.06418272276441425
3764.0,0.06638473012407071
3760.0,0.06403390185233591
3756.0,0.06474648522198208
3752.0,0.06601534689123376
3748.0,0.06655405622153404
3744.0,0.06547379562432787
3740.0,0.07199315580765386
3736.0,0.07110485855504059
3732.0,0.06981649298045889
3728.0,0.07289822933234924
3724.0,0.07254390881826416
3720.0,0.07416946003533528
3716.0,0.07654966971249466
3712.0,0.07901597676829016
3708.0,0.08149898306396655
3704.0,0.08328158219365023
3700.0,0.08085625064696488
3696.0,0.0819035578395845
3692.0,0.08472279202277751
3688.0,0.08647491536444318
3684.0,0.08652119833637668
3680.0,0.0885996274518003
3676.0,0.09340036863502077
3672.0,0.0970757934403967
3668.0,0.09544553348312056
3664.0,0.096799785958802
3660.0,0.09981986381905229
3656.0,0.1007838097625809
3652.0,0.10471522434478162
3648.0,0.10869500624212769
3644.0,0.11038162215027451
3640.0,0.11581542504991033
3636.0,0.11656044305199842
3632.0,0.12024631945947979
3628.0,0.12212747789026024
3624.0,0.12831510497084309
3620.0,0.12661796971741185
3616.0,0.1319565642002679
3612.0,0.13384158205719288
3608.0,0.14159259239915642
3604.0,0.14551919776767663
3600.0,0.14679428000227593
3596.0,0.15527915686424482
3592.0,0.15563622098571772
3588.0,0.15786308841375826
3584.0,0.16459810498943905
3580.0,0.17054279363180908
3576.0,0.17414744870531754
3572.0,0.18407133599932204
3568.0,0.1863047037264637
3564.0,0.19323832705992047
3560.0,0.19785583110872415
3556.0,0.1971451005121753
3552.0,0.20531554306935115
3548.0,0.20628731292104072
3544.0,0.21624018203283532
3540.0,0.22566354925048446
3536.0,0.2277547317685012
3532.0,0.23427837483655625
3528.0,0.24241229851459475
3524.0,0.24963507693896034
3520.0,0.25373437968802653
3516.0,0.26040166808200954
3512.0,0.2690704053799294
3508.0,0.2745652840801185
3504.0,0.28014918429619895
3500.0,0.2880611031367186
3496.0,0.2943379070638968
3492.0,0.3014808253686053
3488.0,0.3117829745175866
3484.0,0.31399248520664264
3480.0,0.32034924902752865
